title,link,date,summary
12:20У більшості регіонів Німеччини через страйк на два дні зупинився громадський транспорт,https://www.ukrinform.ua/rubric-world/4096184-u-bilsosti-regioniv-nimeccini-cerez-strajk-na-dva-dni-zupinivsa-gromadskij-transport.html,2026-02-27 12:20,27.Feb.2026 У більшості регіонів Німеччини через страйк на два дні зупинився громадський транспорт
"11:29Інфраструктура, кіберпростір та енергетика: у Польщі продовжили підвищений рівень терористичної загрози",https://www.ukrinform.ua/rubric-world/4096160-infrastruktura-kiberprostir-ta-energetika-u-polsi-prodovzili-pidvisenij-riven-teroristicnoi-zagrozi.html,2026-02-27 11:29,"27.Feb.2026 Інфраструктура, кіберпростір та енергетика: у Польщі продовжили підвищений рівень терористичної загрози"
"09:09Міністр оборони Пакистану заявив, що після останніх ударів між Ісламабадом і Кабулом почалася «відкрита війна»",https://www.ukrinform.ua/rubric-world/4096099-ministr-oboroni-pakistanu-zaaviv-so-pisla-ostannih-udariv-miz-islamabadom-i-kabulom-pocalasa-vidkrita-vijna.html,2026-02-27 09:09,"27.Feb.2026 Міністр оборони Пакистану заявив, що після останніх ударів між Ісламабадом і Кабулом почалася «відкрита війна»"
07:19У Казахстані 25-річного чоловіка засудили за участь у війні проти України,https://www.ukrinform.ua/rubric-world/4095943-u-kazahstani-25ricnogo-colovika-zasudili-za-ucast-u-vijni-proti-ukraini.html,2026-02-27 07:19,27.Feb.2026 У Казахстані 25-річного чоловіка засудили за участь у війні проти України
06:47Трампу представили варіанти військових дій щодо Ірану - ABC News,https://www.ukrinform.ua/rubric-world/4096076-trampu-predstavili-varianti-vijskovih-dij-sodo-iranu-abc-news.html,2026-02-27 06:47,27.Feb.2026 Трампу представили варіанти військових дій щодо Ірану - ABC News
06:28Суд дозволив Трампу продовжувати будівництво бальної зали у Білому домі,https://www.ukrinform.ua/rubric-world/4096073-sud-dozvoliv-trampu-prodovzuvati-budivnictvo-balnoi-zali-u-bilomu-domi.html,2026-02-27 06:28,27.Feb.2026 Суд дозволив Трампу продовжувати будівництво бальної зали у Білому домі
06:11Єврокомісія пропонує єдині тюремні строки за злочини з вогнепальною та 3D-друкованою зброєю,https://www.ukrinform.ua/rubric-world/4096024-evrokomisia-proponue-edini-turemni-stroki-za-zlocini-z-vognepalnou-ta-3ddrukovanou-zbroeu.html,2026-02-27 06:11,27.Feb.2026 Єврокомісія пропонує єдині тюремні строки за злочини з вогнепальною та 3D-друкованою зброєю
05:39Данія проведе дострокові парламентські вибори 24 березня,https://www.ukrinform.ua/rubric-world/4095898-dania-provede-dostrokovi-parlamentski-vibori-24-berezna.html,2026-02-27 05:39,27.Feb.2026 Данія проведе дострокові парламентські вибори 24 березня
04:42Прем’єр Іспанії спростував чутки про смертельну хворобу,https://www.ukrinform.ua/rubric-world/4095892-premer-ispanii-sprostuvav-cutki-pro-smertelnu-hvorobu.html,2026-02-27 04:42,27.Feb.2026 Прем’єр Іспанії спростував чутки про смертельну хворобу
04:33Меланія Трамп головуватиме в понеділок на засіданні Радбезу ООН,https://www.ukrinform.ua/rubric-world/4096069-melania-tramp-golovuvatime-v-ponedilok-na-zasidanni-radbezu-oon.html,2026-02-27 04:33,27.Feb.2026 Меланія Трамп головуватиме в понеділок на засіданні Радбезу ООН
02:50Губернатору Калузької області РФ заочно дали вісім років тюрми,https://www.ukrinform.ua/rubric-world/4096009-gubernatoru-kaluzkoi-oblasti-rf-zaocno-dali-visim-rokiv-turmi.html,2026-02-27 02:50,27.Feb.2026 Губернатору Калузької області РФ заочно дали вісім років тюрми
01:31Гілларі Клінтон дала свідчення в комітеті Палати представників у справі Епштейна,https://www.ukrinform.ua/rubric-world/4096063-gillari-klinton-dala-svidcenna-v-komiteti-palati-predstavnikiv-u-spravi-epstejna.html,2026-02-27 01:31,27.Feb.2026 Гілларі Клінтон дала свідчення в комітеті Палати представників у справі Епштейна
01:26ЗвітОфіційно майже 8000 людей загинули на міграційних шляхах у 2025 році - МОМ,https://www.ukrinform.ua/rubric-world/4096078-oficijno-majze-8000-ludej-zaginuli-na-migracijnih-slahah-u-2025-roci-mom.html,2026-02-27 01:26,27.Feb.2026 Офіційно майже 8000 людей загинули на міграційних шляхах у 2025 році - МОМ
01:06У Росії відбувається примусова мілітаризація вишів - розвідка,https://www.ukrinform.ua/rubric-world/4096060-u-rosii-vidbuvaetsa-primusova-militarizacia-visiv-rozvidka.html,2026-02-27 01:06,27.Feb.2026 У Росії відбувається примусова мілітаризація вишів - розвідка 
00:04Пакистан заявив про «неспровоковану агресію» афганських талібів уздовж кордону,https://www.ukrinform.ua/rubric-world/4096052-pakistan-zaaviv-pro-nesprovokovanu-agresiu-afganskih-talibiv-uzdovz-kordonu.html,2026-02-27 00:04,27.Feb.2026 Пакистан заявив про «неспровоковану агресію» афганських талібів уздовж кордону
